File,Iteration,Connected,Size,Clustersize,Total_CZ,Still_CZ,Ratio,Saved_entanglement_by_color
wstate_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,18,18,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
wstate_indep_qiskit_10,0,True,"[2, 4, 2, 4, 4, 2, 2]",3,18,12,0.6666666666666666,"{1: 0, 2: 200, 3: 0, 4: 200, 5: 200, 6: 0, 7: 0}"
wstate_indep_qiskit_10,0,True,"[4, 4, 4, 4, 4]",4,18,8,0.4444444444444444,"{1: 200, 2: 200, 3: 200, 4: 200, 5: 200}"
wstate_indep_qiskit_10,0,True,"[4, 8, 4, 8]",5,18,6,0.3333333333333333,"{1: 200, 2: 400, 3: 200, 4: 400}"
qpeinexact_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,102,102,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
qpeinexact_indep_qiskit_10,0,True,"[2, 2, 8, 4, 2, 2, 2]",3,102,94,0.9215686274509803,"{1: 0, 2: 0, 3: 600, 4: 200, 5: 0, 6: 0, 7: 0}"
qpeinexact_indep_qiskit_10,0,True,"[4, 8, 4, 4, 2]",4,102,81,0.7941176470588235,"{1: 500, 2: 600, 3: 500, 4: 500, 5: 0}"
qpeinexact_indep_qiskit_10,0,True,"[4, 4, 8, 8]",5,102,77,0.7549019607843137,"{1: 200, 2: 500, 3: 900, 4: 900}"
graphstate_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,10,10,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
graphstate_indep_qiskit_10,0,True,"[4, 2, 4, 2, 2, 2, 4]",3,10,7,0.7,"{1: 100, 2: 0, 3: 100, 4: 0, 5: 0, 6: 0, 7: 100}"
graphstate_indep_qiskit_10,0,False,"[1, 4, 16, 4, 4]",4,10,6,0.6,"{1: 0, 2: 0, 3: 200, 4: 100, 5: 100}"
graphstate_indep_qiskit_10,0,True,"[8, 8, 4, 4]",5,10,3,0.3,"{1: 200, 2: 300, 3: 100, 4: 100}"
qpeexact_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,97,97,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
qpeexact_indep_qiskit_10,0,True,"[2, 2, 4, 8, 2, 2, 2]",3,97,92,0.9484536082474226,"{1: 0, 2: 0, 3: 200, 4: 300, 5: 0, 6: 0, 7: 0}"
qpeexact_indep_qiskit_10,0,True,"[4, 4, 4, 4, 4]",4,97,81,0.8350515463917526,"{1: 200, 2: 500, 3: 200, 4: 500, 5: 200}"
qpeexact_indep_qiskit_10,0,True,"[8, 8, 4, 4]",5,97,72,0.7422680412371134,"{1: 900, 2: 900, 3: 500, 4: 200}"
ae_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,90,90,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
ae_indep_qiskit_10,0,True,"[2, 2, 2, 2, 8, 4, 2]",3,90,82,0.9111111111111111,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 600, 6: 200, 7: 0}"
ae_indep_qiskit_10,0,True,"[2, 4, 8, 4, 4]",4,90,78,0.8666666666666667,"{1: 0, 2: 200, 3: 600, 4: 200, 5: 200}"
ae_indep_qiskit_10,0,True,"[16, 4, 4, 4]",5,90,72,0.8,"{1: 1200, 2: 200, 3: 200, 4: 200}"
vqe_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,90,90,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
vqe_indep_qiskit_10,0,True,"[4, 2, 2, 4, 2, 2, 4]",3,90,84,0.9333333333333333,"{1: 200, 2: 0, 3: 0, 4: 200, 5: 0, 6: 0, 7: 200}"
vqe_indep_qiskit_10,0,True,"[4, 4, 4, 4, 4]",4,90,80,0.8888888888888888,"{1: 200, 2: 200, 3: 200, 4: 200, 5: 200}"
vqe_indep_qiskit_10,0,True,"[4, 4, 8, 8]",5,90,74,0.8222222222222222,"{1: 200, 2: 200, 3: 600, 4: 600}"
grover-noancilla_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,39032,39032,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
